Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
1	0	-2	1	1	0	
13	0	-14	12	13	0	
32	0	-36	28	33	0	
57	0	-62	47	55	0	
83	0	-90	66	76	0	
111	0	-118	86	99	0	
137	0	-146	104	119	0	
154	0	-166	115	133	0	
174	0	-190	129	149	0	
193	-15872	-211	142	163	0	
-15660	0	-232	-15717	177	0	
232	0	-255	168	190	0	
250	0	-276	180	203	0	
273	0	-302	195	219	0	
292	0	-324	207	233	0	
313	0	-350	221	1	0	
330	0	-370	233	262	0	
349	0	-393	245	275	0	
366	0	-15774	256	288	0	
386	0	-438	269	303	0	
409	0	-466	284	321	0	
430	0	-489	-15830	337	0	
452	0	-518	313	353	0	
470	0	-538	325	-15763	0	
491	0	-564	339	381	0	
510	0	-588	351	394	0	
530	0	-612	364	409	0	
552	0	-640	379	425	0	
573	0	-666	393	440	0	
597	0	-694	409	456	0	
618	0	-720	424	471	0	
639	0	-746	438	486	1	
660	0	-772	453	501	0	
678	0	-792	465	513	0	
698	0	-818	478	528	0	
721	0	-848	-15634	544	0	
742	0	-874	507	561	0	
758	0	-895	519	574	0	
779	0	-922	533	513	0	
797	0	-942	545	601	0	
815	0	-966	557	614	0	
837	0	-992	571	629	0	
859	0	-1020	586	646	0	
877	0	-1043	599	660	0	
895	0	-1066	611	673	0	
915	0	-1092	623	687	0	
937	0	-1118	638	703	0	
955	0	-1141	513	717	0	
975	0	-1164	663	731	0	
993	0	-1186	-15710	744	0	
-15626	0	-1212	688	759	0	
1037	0	-1240	703	776	0	
-15835	0	-1269	513	793	0	
1078	0	-1290	731	805	0	
1099	0	-1316	744	821	0	
1120	0	-1341	759	835	0	
1141	0	-1367	773	850	0	
1162	0	-1392	787	865	0	
1184	0	-1418	801	881	0	
1204	0	-1444	815	895	0	
1222	0	-1466	769	909	0	
1240	-15872	-1488	839	769	0	
1257	0	-1508	851	932	0	
1274	0	-1530	862	944	0	
-15859	0	-1554	875	958	0	
1311	0	-1791	887	971	0	
1333	0	-1602	903	987	1	
1354	0	-1627	916	1001	0	
1375	0	-1654	931	1016	0	
1394	0	-1678	943	1027	-15872	
-15740	0	-1696	769	1040	1	
1433	0	-1722	968	1055	0	
1452	0	-1745	981	1069	0	
1474	0	-1771	996	1085	0	
1493	0	-1794	-15632	1098	0	
1514	0	-1820	1022	1113	0	
1534	0	-1845	1035	1129	0	
1554	0	-1868	1048	1143	0	
1576	0	-15718	1062	1157	0	
1593	0	-1915	1073	1169	0	
1609	0	-1936	1084	1181	0	
1628	0	-1961	1098	1197	0	
1650	0	-1987	1112	1212	0	
1670	0	-2012	-15771	1227	0	
1692	0	-2039	1140	1243	0	
1712	0	-2063	1153	1257	0	
1729	0	-15651	1164	1268	1	
1748	0	-2108	1176	1281	0	
1770	0	-2134	1191	1298	0	
1793	0	-2162	1025	1314	0	
1814	0	-2187	1220	1328	0	
1837	0	-2216	1025	1344	0	
1858	0	-2242	1249	1359	-15872	
1877	0	-2262	1262	1373	0	
1896	0	-2285	1274	1387	0	
1915	0	-2308	1287	-15752	0	
-15726	0	-2336	1302	-15736	0	
1957	0	-15672	1314	1430	0	
1980	0	-2387	1329	1446	0	
1999	0	-2409	1341	1459	-15872	
-15646	0	-2432	1354	1472	0	
2035	0	-2452	1365	1484	0	
2052	0	-2472	1376	1497	0	
2073	0	-2497	1390	1281	0	
2091	0	-2518	1401	1524	0	
2111	1	-2545	1415	1541	0	
2130	0	-2568	1427	1554	0	
-15771	0	-2590	1439	1567	0	
2169	0	-2616	1452	1583	0	
2187	0	-2636	1464	1595	0	
2206	-15872	-2659	1476	-15799	0	
2223	0	-2679	1487	1622	0	
2240	0	-2700	1498	1633	0	
2261	0	-2724	1511	1649	0	
2280	0	-2746	1523	1662	0	
2302	0	-2773	1538	1678	0	
-15851	0	-15856	1553	1695	0	
2343	0	-2821	1564	1707	0	
2364	0	-2845	1578	1722	0	
2390	0	-2876	1595	1741	0	
2422	0	-2914	1615	1764	0	
2454	0	-2951	1636	1786	0	
2485	0	-2986	1656	1807	0	
2515	0	-3016	1674	1828	0	
2545	0	-3052	1693	1849	0	
2577	0	-3088	1714	1871	0	
2595	0	-3110	1726	1883	0	
2614	0	-3132	1738	1896	0	
2633	0	-3155	1750	1910	0	
2657	0	-3182	1766	1926	0	
2680	0	-15753	1781	1941	0	
-15732	0	-3235	1795	1956	0	
2721	-15872	-3260	1809	1971	0	
2739	0	-3278	1820	1982	0	
2756	0	-3298	1830	1994	0	
-15659	0	-3317	1841	2007	0	
2791	0	-3339	1853	2019	0	
2810	0	-3358	-15799	2029	0	
2832	0	-3383	1879	2045	-15872	
2855	0	-3410	1894	2061	0	
2874	0	-3431	1905	2075	0	
2891	0	-3451	1917	2087	0	
2909	0	-3473	1928	2100	0	
2927	0	-3494	1940	2111	0	
2945	0	-3514	1951	2124	0	
2966	0	-3538	1964	2138	0	
2984	0	-3558	1975	2150	0	
3005	0	-3582	1989	2165	0	
3027	0	-3607	2002	2179	0	
3046	0	-3629	2014	2192	0	
3063	0	-3649	2025	2203	0	
-15860	0	-3673	2039	2217	0	
3107	0	-15731	2053	2233	0	
3130	0	-3725	2067	2247	0	
3150	1	-3748	2080	2261	0	
3170	0	-3770	2093	2273	0	
3189	0	-3790	2105	2285	0	
3208	0	-3810	2117	2049	0	
3228	0	-3830	2130	2308	0	
3243	0	-3848	2141	2317	-15872	
3264	0	-3868	2155	2330	-15872	
3283	0	-4095	2168	2341	0	
3304	1	-3906	2181	2351	0	
3325	1	-4095	2195	2361	0	
3342	1	-3942	2206	-15806	0	
3361	1	-3958	-15702	2379	0	
3379	1	-3974	2229	2387	0	
3401	1	-3993	2243	2397	0	
3424	1	-4014	2258	2407	0	
3444	1	-4028	2270	2416	0	
3463	1	-4044	2282	2423	0	
3482	1	-4062	2294	2429	0	
3500	1	-4076	2305	2436	0	
3519	1	-4092	2317	2443	0	
3540	1	-4110	2333	2452	0	
3560	1	-4351	2347	2461	0	
3582	1	-4148	2362	2473	0	
3599	1	-4166	2376	2483	0	
3617	1	-4182	2389	2493	0	
3635	1	-4198	2401	2502	0	
3656	1	-4215	2416	2512	0	
3678	1	-4234	2431	2522	0	
3694	1	-4250	2443	2531	0	
3712	1	-4266	2457	2540	0	
3732	1	-4284	2471	2550	0	
3751	-15871	-4300	2484	2560	-15872	
3774	1	-4320	2499	2571	0	
3793	1	-4336	2512	2561	0	
3814	1	-4354	2526	2590	0	
3833	1	-4367	2538	2600	0	
3851	-15871	-4380	2549	2609	0	
3868	1	-4394	2559	2617	0	
3889	1	-4410	2572	2628	0	
3909	1	-4426	2585	2638	0	
3928	1	-4442	2597	2648	0	
3949	1	-4460	2612	2659	0	
-15742	1	-4479	2626	2670	0	
3988	1	-4494	2638	2680	-15872	
4009	1	-4512	2653	2691	0	
4027	1	-4528	2666	2700	0	
4049	1	-4548	2682	2712	0	
4069	1	-4566	2696	2723	0	
4090	1	-4584	2709	2733	0	
4108	1	-4600	2721	2741	0	
4129	1	-4618	2735	2561	0	
4146	1	-15641	2747	2759	0	
4167	1	-4652	2761	2769	0	
4186	1	-4670	2774	2779	0	
4204	1	-4687	2787	2788	0	
4225	1	-4705	2801	2799	0	
4246	1	-4724	2815	2808	0	
4267	1	-4744	2829	2819	0	
4287	1	-4758	2841	2829	0	
-15663	1	-4772	2853	2838	0	
4324	1	-4790	2865	2847	0	
4343	1	-4804	2877	2855	0	
4361	1	-15826	2888	2863	0	
4383	1	-4836	2901	2874	0	
4407	1	-4854	2915	2885	0	
4426	1	-5119	2925	2894	0	
4445	1	-4886	2935	2902	0	
4462	1	-4899	2944	2910	0	
4479	1	-4913	2952	2918	0	
4496	1	-4926	2960	2926	0	
4509	1	-15692	2966	2935	0	
4528	1	-4954	2817	2945	0	
4550	1	-4972	2983	2957	0	
4572	1	-4990	2991	2968	0	
4593	1	-5007	2999	2978	0	
4613	1	-5024	3007	2987	0	
4631	1	-5038	3014	2995	0	
4649	1	-5052	3020	3004	0	
4668	1	-5068	3027	3014	0	
4690	1	-5088	3034	3023	0	
4712	1	-5103	3040	3033	1	
4729	1	-5116	3045	3041	0	
4750	1	-5132	3051	3051	0	
4769	1	-5146	3055	3057	0	
