Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
0	0	0	-15872	0	0	
0	-15872	0	0	0	0	
0	0	-15872	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
-12	10	9	-12	-9	13	
-27	1	17	-27	-19	31	
-35	33	24	-36	-29	46	
-41	-15834	26	-35	-28	49	
-41	38	26	-35	-28	49	
-41	1	26	-35	-255	49	
-41	38	26	-35	-28	49	
-41	38	26	-35	-28	49	
-43	35	27	-37	-29	54	
-43	35	27	-37	-29	-15818	
-43	35	27	-37	-15645	54	
-43	35	-15845	-37	-29	1	
-43	-15837	1	-15653	-29	-15871	
-42	34	-15845	-40	-27	-15818	
-54	42	32	-48	-36	1	
-65	50	36	-57	-44	1	
-80	59	38	-67	-56	115	
-95	70	38	-77	-66	139	
-15728	-15791	36	-89	-78	165	
-124	89	36	-98	-88	186	
-139	99	36	-108	-99	209	
-152	108	36	-117	-108	229	
-164	117	36	-127	-15734	250	
-180	-15745	36	-138	-130	274	
-196	138	36	-150	-142	300	
-213	1	36	-162	-154	327	
-213	148	36	-162	-154	327	
-213	148	36	-162	-154	-15801	
-213	148	36	-162	-154	327	
-213	148	-15836	-162	-255	327	
-216	148	35	-165	-156	332	
-227	155	39	-173	-255	349	
-243	166	41	-185	-177	375	
-259	177	40	-196	-189	399	
-273	187	39	-206	-199	421	
-287	197	39	-215	-208	441	
-303	208	38	-226	-221	466	
-317	217	37	-236	-232	489	
-332	229	35	-247	-244	513	
-348	239	35	-257	-254	536	
-364	249	34	-269	-266	561	
-379	260	33	-278	-276	584	
-383	262	34	-281	-280	592	
-383	262	34	-511	-280	-15792	
-383	262	1	-281	-280	592	
-383	262	34	-281	-280	-15792	
-383	262	34	-281	-280	513	
-382	259	33	-281	-282	-15793	
-382	259	-15839	-281	-282	513	
-382	259	33	-281	-282	-15793	
-382	259	33	-15641	-15642	-15871	
-382	-15869	-15871	-511	-511	591	
-382	260	-15839	-15640	-15641	592	
-392	267	40	-288	-289	607	
-405	276	43	-297	-299	626	
-15781	286	45	-308	-15671	648	
-435	295	44	-317	-320	667	
-448	-15823	43	-326	-15689	688	
-464	315	41	-337	-340	713	
-477	323	40	-346	-349	-15650	
-490	257	39	-355	-358	753	
-505	342	38	-366	-370	777	
-523	354	37	-378	-383	805	
-540	366	37	-390	-395	832	
-555	375	37	-15761	-405	855	
-15659	376	37	-402	-405	855	
-555	376	1	-402	-405	855	
-15659	376	-15835	-402	-405	855	
-555	257	1	-511	-405	769	
-555	376	38	-15761	-406	854	
-555	376	38	-401	-406	854	
-555	376	38	-401	-406	854	
-555	376	38	-401	-511	854	
-555	-15752	38	-511	-406	854	
-555	376	38	-401	-15766	854	
-563	-15753	43	-412	-15759	860	
-563	375	43	-412	-399	860	
-15667	375	43	-412	-399	769	
-15667	375	43	-15772	-399	860	
-563	375	43	-15772	-511	860	
-563	375	-15829	-412	-399	860	
-563	375	43	-411	-398	859	
-563	375	43	-15771	-398	859	
-563	375	1	-411	-398	-15781	
-15667	375	-15829	-411	-398	859	
-563	-15753	-15829	-15771	-15758	859	
-564	375	-15829	-411	-400	858	
-564	375	43	-411	-400	858	
-564	375	43	-411	-511	858	
-564	375	43	-511	-15760	858	
-564	375	-15829	-411	-400	858	
-564	375	43	-411	-15760	858	
-566	377	43	-414	-400	858	
-566	377	43	-414	-400	858	
-566	377	43	-414	-400	858	
-566	377	43	-414	-400	858	
-566	377	43	-414	-511	769	
-566	-15751	43	-414	-400	858	
-566	378	43	-511	-402	859	
-566	378	43	-414	-402	859	
-566	378	43	-414	-402	859	
-566	378	43	-414	-402	859	
-566	378	1	-414	-402	859	
-566	378	43	-414	-402	859	
-575	384	1	-421	-413	877	
-591	396	43	-433	-425	904	
-607	408	43	-444	-436	928	
-620	418	43	-454	-446	951	
-637	430	43	-511	-457	769	
-650	-15688	43	-473	-465	997	
-15767	449	43	-483	-473	1017	
-678	461	43	-511	-483	1041	
-15795	471	43	-503	-493	1063	
-707	484	43	-514	-504	1089	
-722	494	43	-524	-514	1110	
-736	504	1	-535	-525	1133	
-741	513	43	-543	-523	1138	
-741	513	43	-15647	-523	1138	
-741	513	43	-543	-523	1138	
-741	513	43	-543	-523	-15758	
-741	-15871	43	-543	-523	1138	
-741	510	43	-548	-523	1136	
-741	510	43	-548	-523	1136	
-741	510	43	-548	-523	1136	
-15845	510	43	-15652	-15627	1136	
-741	510	43	-548	-767	1136	
-15845	510	43	-15871	-15627	1136	
-743	510	43	-550	-525	1137	
-743	510	43	-550	-525	1137	
-743	510	43	-550	-525	1137	
-743	510	43	-550	-525	1137	
-743	510	-15829	-550	-15629	1137	
-743	510	43	-550	-525	1137	
-15847	-15617	43	-552	-523	1136	
-743	511	43	-552	-523	1136	
-743	511	43	-552	-523	1025	
-743	257	43	-552	-767	1136	
-743	511	1	-15656	-767	1136	
-15847	-15617	1	-552	-15871	1136	
-744	-15871	43	-553	-15626	1134	
-744	513	43	-553	-522	1134	
-744	513	-15829	-15657	-522	1134	
-744	513	43	-553	-522	1134	
-744	513	1	-767	-522	-15762	
-744	513	1	-553	-767	1134	
-745	516	43	-553	-522	1138	
-745	516	43	-553	-522	1138	
-15849	516	43	-553	-522	-15758	
-745	516	43	-553	-522	1025	
-745	-15868	1	-553	-522	1138	
-745	516	43	-553	-522	1025	
-742	517	43	-556	-523	1138	
-742	517	1	-556	-15627	1138	
-742	517	43	-767	-523	1138	
-742	517	1	-556	-523	1138	
-742	517	43	-556	-523	1025	
-742	513	43	-556	-523	1138	
-15852	518	-15829	-15665	-523	1137	
-748	518	-15871	-561	-15627	1137	
-15852	518	43	-561	-523	1137	
-748	518	-15829	-15871	-523	-15759	
-748	518	-15829	-15665	-523	1137	
-748	518	1	-561	-523	1137	
-748	518	43	-562	-524	1138	
-748	518	43	-562	-524	-15758	
-748	518	43	-562	-524	1138	
-748	513	1	-767	-15628	1138	
-748	518	-15829	-562	-15871	1138	
-748	518	1	-562	-524	1138	
-747	517	43	-767	-522	1139	
-747	517	43	-562	-522	1139	
-747	517	43	-562	-522	1139	
-747	517	43	-562	-522	1139	
-746	518	43	-561	-522	1140	
-746	518	43	-15665	-522	1140	
-746	518	43	-561	-522	1140	
-746	518	43	-561	-15626	1140	
-743	519	-15834	-562	-519	1138	
-743	513	38	-562	-519	1138	
-743	519	38	-562	-767	1138	
-743	513	38	-15871	-519	1138	
-743	519	1	-562	-15623	1138	
-743	519	38	-15666	-519	1138	
-745	516	38	-560	-518	1140	
-745	516	-15834	-560	-518	1140	
-745	513	38	-560	-518	1140	
-15849	516	1	-15664	-518	1140	
-745	516	38	-15664	-518	1140	
-749	518	38	-563	-522	1145	
-764	531	38	-574	-15637	1163	
-780	545	38	-586	-544	1180	
-804	565	-15834	-602	-15664	1194	
-826	584	38	-618	-576	1195	
-856	610	38	-15742	-596	1195	
-883	633	38	-657	-615	1195	
-911	657	38	-677	-633	1195	
-936	678	38	-694	-650	-15701	
-959	696	38	-710	-664	1195	
-988	720	38	-730	-684	1195	
-1019	747	38	-751	-703	1195	
-1041	766	1	-766	-717	1195	
-1041	766	38	-766	-717	1195	
-15633	766	38	-767	-717	1195	
-1041	766	38	-766	-717	1195	
-1041	766	38	-766	-717	1195	
-15632	764	40	-768	-718	1195	
-1040	764	40	-768	-718	1195	
-1040	764	40	-768	-767	1195	
-1040	764	40	-768	-718	1195	
-15632	764	40	-15872	-718	1195	
-1040	764	40	-767	-718	1195	
-1042	765	40	-768	-719	1195	
-1071	790	-15832	-789	-738	1195	
-1095	769	40	-806	-755	1195	
-1119	830	40	-822	-772	-15701	
-1147	855	40	-842	-790	1195	
-1175	-15760	40	-861	-808	1195	
-1197	899	40	-877	-823	1195	
-1223	921	40	-894	-842	1195	
-1246	942	40	-911	-857	1195	
-1277	969	40	-931	-877	1195	
-1298	988	40	-947	-892	1195	
-1321	1006	40	-961	-907	1195	
-1349	1030	40	-15829	-927	1195	
-1365	1045	-15832	-992	-938	1195	
-1365	1045	40	-992	-938	1195	
-1365	1045	40	-992	-938	1195	
-1365	1045	40	-992	-938	1195	
-1365	1045	1	-992	-938	-15701	
-1380	1025	40	-1002	-949	1195	
-1406	1082	-15832	-1021	-968	1195	
-1435	1107	40	-1041	-988	1195	
-1464	1132	40	-1061	-1007	1195	
-1486	1152	40	-1077	-1022	1195	
-1511	1174	40	-1093	-1039	1195	
-1539	1025	40	-1113	-1059	1195	
-1560	1219	40	-1128	-1074	1195	
-1590	1245	40	-1149	-1094	1195	
-1617	1269	-15832	-1168	-1112	1195	
-1646	1295	40	-1187	-1130	1195	
-1673	1319	40	-1206	-1148	1195	
-1694	1338	40	-1221	-1163	1195	
-1696	1339	40	-1222	-1164	1195	
-1696	1339	40	-1222	-1164	1195	
-1696	1339	40	-1222	-1164	1195	
-1696	1339	40	-1222	-1164	1195	
-1697	1340	40	-1221	-1166	1195	
